标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
对 口越秀育才158万上海公馆毛坯三房，中间楼层无遮挡有钥匙,3室2厅,91m²,中层(共34层),2017年建造,17363元/m²,158万,近地铁繁华地段品质小区,光明上海公馆  江岸-后湖-塔子湖东路,https://wuhan.anjuke.com/prop/view/A1870027833?from=filter&spread=commsearch_p&uniqid=pc5da4282b325047.08489561&position=76&kwtype=filter&now_time=1571039275
色港湾双湖林语毛坯大两室 外校三牛中美 地铁口 中间楼层 金,3室2厅,119m²,中层(共34层),2019年建造,17557元/m²,210万,交通便利素质住户品质小区,金色港湾双湖林语  蔡甸-郭徐岭广场-太子湖北路,https://wuhan.anjuke.com/prop/view/A1839630945?from=filter&spread=commsearch_p&uniqid=pc5da4282b3250d2.27267283&position=77&kwtype=filter&now_time=1571039275
天纵城商圈 毛坯三房 中高楼层 诚意出售,3室2厅,98m²,中层(共33层),2016年建造,11735元/m²,115万,南北通透配套成熟环境优美,天纵城  黄陂-盘龙城-盘龙一路,https://wuhan.anjuke.com/prop/view/A1866142767?from=filter&spread=commsearch_p&uniqid=pc5da4282b325140.29523147&position=78&kwtype=filter&now_time=1571039275
弘阳印月府 汉阳四新 近王家湾商圈 湖景房 新二环内 近地铁,3室2厅,95m²,中层(共32层),2018年建造,15684元/m²,149万,新房房源配套成熟交通便利,"弘阳印月府  汉阳-建港-墨水湖南路,近江堤中路",https://wuhan.anjuke.com/prop/view/A1854317649?from=filter&spread=commsearch_p&uniqid=pc5da4282b325231.51341143&position=79&kwtype=filter&now_time=1571039275
联投龙湾三期 三房110万110万捡漏房 直接签 好楼层,3室2厅,93m²,中层(共33层),2017年建造,11828元/m²,110万,环境优美次新小区品质小区,联投龙湾(三期)  江夏-文化大道-武昌大道,https://wuhan.anjuke.com/prop/view/A1778287539?from=filter&spread=commsearch_p&uniqid=pc5da4282b3252b0.30277687&position=80&kwtype=filter&now_time=1571039275
王家湾核心  人信汇二期 送豪装30万 急降18万 急,3室2厅,120m²,中层(共33层),2014年建造,20498元/m²,247万,近地铁配套成熟繁华地段,人信汇(二期)  汉阳-王家湾-龙兴西街,https://wuhan.anjuke.com/prop/view/A1849457343?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b325335.70810331&position=81&kwtype=filter&now_time=1571039275
汉阳永旺旁 金地澜菲溪岸 广电兰亭时代三房 赠送8平 视野好,3室2厅,90m²,中层(共34层),2015年建造,16444元/m²,148万,主卧朝南繁华地段品质小区,广电兰亭时代  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1854916005?from=filter&spread=commsearch_p&uniqid=pc5da4282b3253b6.28283350&position=82&kwtype=filter&now_time=1571039275
盘龙一小旁天汇龙城 毛坯三房 中高楼层 随时看房,3室2厅,113m²,中层(共33层),2013年建造,11120元/m²,126万,近地铁配套成熟交通便利,天汇龙城  黄陂-盘龙城-巨龙大道90号,https://wuhan.anjuke.com/prop/view/A1828432965?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b325446.56991591&position=83&kwtype=filter&now_time=1571039275
佰万大盘 湖景风光 通透户型  实惠价格  诚意出售,3室2厅,135m²,中层(共33层),2016年建造,11186元/m²,152万,南北通透景观房环境优美,联投龙湾(三期)  江夏-文化大道-武昌大道,https://wuhan.anjuke.com/prop/view/A1803305739?from=filter&spread=commsearch_p&uniqid=pc5da4282b3254c2.85018205&position=84&kwtype=filter&now_time=1571039275
阳光城红枫苑 正规三房 楼层好 视野好 随时看房,3室2厅,94m²,中层(共34层),2018年建造,14043元/m²,132万,南北通透,东风阳光城(四期)  蔡甸-郭徐岭广场-观湖路8号,https://wuhan.anjuke.com/prop/view/A1846863579?from=filter&spread=commsearch_p&uniqid=pc5da4282b325545.72703259&position=85&kwtype=filter&now_time=1571039275
双地铁 中建御景星城 南北通透 毛坯三房 随时看 诚心出售,3室2厅,127m²,中层(共32层),2017年建造,25039元/m²,318万,,中建御景星城  硚口-宗关-汉西路,https://wuhan.anjuke.com/prop/view/A1867622403?from=filter&spread=commsearch_p&uniqid=pc5da4282b3255c5.12677985&position=86&kwtype=filter&now_time=1571039275
(店铺主，推户型)罗家庄正地铁口 次新清水毛坯3房，南北通透,3室2厅,119m²,中层(共34层),2018年建造,21299元/m²,253.9万,南北通透环境优美,金岛御璟世家(二期)  江岸-竹叶山花桥-赵家条路88号,https://wuhan.anjuke.com/prop/view/A1869341097?from=filter&spread=commsearch_p&uniqid=pc5da4282b325649.80551811&position=87&kwtype=filter&now_time=1571039275
邻六号地铁 万达旁金湖天地精装三房 户型方正 有赠 面积,3室2厅,90m²,中层(共30层),2015年建造,17146元/m²,155万,近地铁配套成熟素质住户,金湖天地  东西湖-金银湖-金银湖南一街18号,https://wuhan.anjuke.com/prop/view/A1852892445?from=filter&spread=commsearch_p&uniqid=pc5da4282b325717.30337772&position=88&kwtype=filter&now_time=1571039275
滨江金茂府 一线俯瞰长江 近地铁 环境优美 大气品牌开发商,3室2厅,130m²,中层(共32层),2018年建造,24231元/m²,315万,新房房源配套成熟交通便利,滨江金茂府  汉阳-建港-晴川大道,https://wuhan.anjuke.com/prop/view/A1837138449?from=filter&spread=commsearch_p&uniqid=pc5da4282b325796.86899290&position=89&kwtype=filter&now_time=1571039275
首付35万 低于市场价15万 碧桂园天玺湾 精装三房 通透,3室2厅,104m²,中层(共33层),2018年建造,12308元/m²,128万,,碧桂园天玺湾  江夏-庙山-明泽街,https://wuhan.anjuke.com/prop/view/A1823451213?from=filter&spread=commsearch_p&uniqid=pc5da4282b325817.33912667&position=90&kwtype=filter&now_time=1571039275
爱佳798 精装三房 南北通透 中高层 看房方便,3室2厅,87m²,中层(共33层),2016年建造,16667元/m²,145万,近地铁,爱佳七九八香澜水岸  蔡甸-江汉大学-车城西路,https://wuhan.anjuke.com/prop/view/A1854606945?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b325891.19856594&position=91&kwtype=filter&now_time=1571039275
地铁口 大华铂金华府 精装三房 好楼层采光好 诚意出售！,3室2厅,95m²,中层(共33层),2013年建造,20632元/m²,196万,近地铁配套成熟品质小区,大华铂金华府  青山-余家头-七棉路10号,https://wuhan.anjuke.com/prop/view/A1850669283?from=filter&spread=commsearch_p&uniqid=pc5da4282b325916.88967041&position=92&kwtype=filter&now_time=1571039275
新上好房 大华铂金华府 精装朝南3房 当下值得出手的好房,3室2厅,98m²,中层(共32层),2012年建造,23265元/m²,228万,近地铁配套成熟交通便利,大华铂金华府  青山-余家头-七棉路10号,https://wuhan.anjuke.com/prop/view/A1864933689?from=filter&spread=commsearch_p&uniqid=pc5da4282b325991.49265506&position=93&kwtype=filter&now_time=1571039275
华润翡翠城 边户 南北通透 户型好毛坯 小三房,3室2厅,97m²,中层(共33层),2017年建造,14212元/m²,138万,南北通透环境优美繁华地段,华润翡翠城  硚口-古田-城华路,https://wuhan.anjuke.com/prop/view/A1816491135?from=filter&spread=commsearch_p&uniqid=pc5da4282b325a17.32328815&position=94&kwtype=filter&now_time=1571039275
4号线仁和路地铁口 开发商直售 一手新房 品质小区 金科城,3室2厅,113m²,中层(共31层),2018年建造,20265元/m²,229万,新房房源配套成熟环境优美,金科城  洪山-欢乐谷-仁和路98号,https://wuhan.anjuke.com/prop/view/A1856169273?from=filter&spread=commsearch_p&uniqid=pc5da4282b325a94.29303946&position=95&kwtype=filter&now_time=1571039275
龙台。新小区。精装3房2卫。实拍图片。证满2年。品牌家具家电,3室2厅,104m²,中层(共32层),2015年建造,12500元/m²,130万,拎包入住配套成熟交通便利,龙台  蔡甸-郭徐岭广场-听涛路,https://wuhan.anjuke.com/prop/view/A1858908981?from=filter&spread=commsearch_p&uniqid=pc5da4282b325b17.11383935&position=96&kwtype=filter&now_time=1571039275
一线湖景大三房 万科物业 德雅国际城 房东诚意出售 懂的来,3室2厅,115m²,中层(共31层),2017年建造,7217元/m²,83万,近地铁交通便利品质小区,德雅国际城  新洲-阳逻开发区-风情大道1号,https://wuhan.anjuke.com/prop/view/A1717902867?from=filter&spread=commsearch_p&uniqid=pc5da4282b325b87.26979779&position=97&kwtype=filter&now_time=1571039275
四新 广电兰亭时代 三室两厅 环境优雅交通便利 随时看房急售,3室2厅,89m²,中层(共33层),2016年建造,16734元/m²,150万,,广电兰亭时代  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1712631549?from=filter&spread=commsearch_p&uniqid=pc5da4282b325c00.75077879&position=98&kwtype=filter&now_time=1571039275
东西湖区地铁口毛坯住宅 吴家山商圈 满足所有生活所需出行方便,3室2厅,86m²,中层(共30层),2018年建造,14186元/m²,122万,新房房源南北通透,金辉江樾云著  东西湖-吴家山-五环大道,https://wuhan.anjuke.com/prop/view/A1856448507?from=filter&spread=commsearch_p&uniqid=pc5da4282b325c89.49273407&position=99&kwtype=filter&now_time=1571039275
新出必看笋房，光谷火车站双地铁口，统建天成美景，通透大三房,3室2厅,112m²,中层(共32层),2015年建造,18304元/m²,205万,安全性高繁华地段品质小区,统建天成美景  洪山-珞瑜东路-光谷一路,https://wuhan.anjuke.com/prop/view/A1866452439?from=filter&spread=commsearch_p&uniqid=pc5da4282b325d09.89720899&position=100&kwtype=filter&now_time=1571039275
曙光星城 清水毛坯 好楼层采光好 有证可贷款 看房找小朱,3室2厅,122m²,中层(共33层),2015年建造,16153元/m²,198万,南北通透交通便利繁华地段,"曙光星城B区  洪山-光谷软件园-腊台山路,近雄庄路",https://wuhan.anjuke.com/prop/view/A1869782745?from=filter&spread=commsearch_p&uniqid=pc5da4282b325d89.07745957&position=101&kwtype=filter&now_time=1571039275
中汤逊湖壹号，性价比超高三房，中高楼层，诚心出售，随时可看房,3室2厅,108m²,中层(共33层),2015年建造,12037元/m²,130万,环境优美素质住户品质小区,中建汤逊湖壹号  江夏-文化大道-环湖路,https://wuhan.anjuke.com/prop/view/A1827991587?from=filter&spread=commsearch_p&uniqid=pc5da4282b325e08.90561045&position=102&kwtype=filter&now_time=1571039275
江大旁联投一期三房两卫 证满两年 南北通透 中间楼层采光好，,3室2厅,118m²,中层(共32层),2015年建造,16102元/m²,190万,南北通透环境优美品质小区,联投金色港湾  蔡甸-江汉大学-博学路6号,https://wuhan.anjuke.com/prop/view/A1851170421?from=filter&spread=commsearch_p&uniqid=pc5da4282b325e70.27584790&position=103&kwtype=filter&now_time=1571039275
红枫苑三房两卫 南北通透的边户 楼层好 采光好 随时看房,3室2厅,116m²,中层(共33层),2018年建造,14224元/m²,165万,近地铁环境优美品质小区,东风阳光城(四期)  蔡甸-郭徐岭广场-观湖路8号,https://wuhan.anjuke.com/prop/view/A1847046405?from=filter&spread=commsearch_p&uniqid=pc5da4282b325ef7.93214408&position=104&kwtype=filter&now_time=1571039275
"6号地铁口,经开永旺旁,一线湖景房,环境优美 找我享受团购价",3室2厅,130m²,中层(共30层),2018年建造,17308元/m²,225万,新房房源近地铁配套成熟,禹洲朗廷元著  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1850655711?from=filter&spread=commsearch_p&uniqid=pc5da4282b325f70.22943622&position=105&kwtype=filter&now_time=1571039275
急降10万！中间户型 南北通透 全房采光小区单价低,3室2厅,110m²,中层(共33层),2018年建造,16818元/m²,185万,南北通透环境优美,招商公园1872怡府  汉阳-建港-杨泗港快速通道,https://wuhan.anjuke.com/prop/view/A1854145749?from=filter&spread=commsearch_p&uniqid=pc5da4282b325ff6.49848050&position=106&kwtype=filter&now_time=1571039275
党校旁次新小区中间楼层全南户型首付低好像方正随时可看,2室2厅,87m²,中层(共33层),2014年建造,10297元/m²,90万,两房朝南近地铁品质小区,兰江公园里  黄陂-盘龙城-汤云海路特1号,https://wuhan.anjuke.com/prop/view/A1838987625?from=filter&spread=commsearch_p&uniqid=pc5da4282b326073.10554075&position=107&kwtype=filter&now_time=1571039275
碧桂园生态城左岸 花山19号地铁口100米 95平3房,3室2厅,95m²,中层(共32层),2017年建造,14526元/m²,138万,主卧朝南近地铁环境优美,碧桂园生态城左岸  洪山-光谷东-夏芒路28号,https://wuhan.anjuke.com/prop/view/A1850546289?from=filter&spread=commsearch_p&uniqid=pc5da4282b3260f7.89668700&position=108&kwtype=filter&now_time=1571039275
光谷东万科紫悦湾开发商装修 自己又花了18万 二次简装有钥匙,3室2厅,117m²,中层(共28层),2017年建造,15309元/m²,180万,南北通透环境优美,万科紫悦湾  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1870130991?from=filter&spread=commsearch_p&uniqid=pc5da4282b3262a1.82571635&position=109&kwtype=filter&now_time=1571039275
四新 华发未来荟 3房2厅1卫 精装好房 地铁旁 对口学校,3室2厅,92m²,中层(共34层),2016年建造,17717元/m²,163万,全南户型房型正品质小区,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1866841221?from=filter&spread=commsearch_p&uniqid=pc5da4282b326334.59703838&position=110&kwtype=filter&now_time=1571039275
融科天城 品质小区 豪装三房户型 保养好 大智路三阳路,3室2厅,101m²,中层(共33层),2010年建造,32673元/m²,330万,近地铁近学校南北通透,融科天城一期  江岸-三阳路-解放南路168号,https://wuhan.anjuke.com/prop/view/A1869554163?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da4282b326426.92286935&position=111&kwtype=filter&now_time=1571039275
武昌二环内 地铁口 滨江商务区 毛坯新房,3室2厅,117m²,中层(共35层),2018年建造,26496元/m²,310万,新房房源,融侨天域  武昌-徐东-和平大道1102号,https://wuhan.anjuke.com/prop/view/A1804113561?from=filter&spread=commsearch_p&uniqid=pc5da4282b3264a5.18118213&position=112&kwtype=filter&now_time=1571039275
双地铁口12号线和3号线 老证 位置好 抄底三房 视野无遮挡,3室2厅,92m²,低层(共32层),2016年建造,22732元/m²,210万,近地铁配套成熟素质住户,万锦江城  江岸-百步亭-兴业路175号,https://wuhan.anjuke.com/prop/view/A1869850443?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b326536.15045321&position=113&kwtype=filter&now_time=1571039275
天纵城精装三房 家电齐全  拎包入住 随时看房,3室2厅,91m²,低层(共34层),2015年建造,11743元/m²,108万,,天纵城  黄陂-盘龙城-盘龙一路,https://wuhan.anjuke.com/prop/view/A1870681791?from=filter&spread=commsearch_p&uniqid=pc5da4282b3265b0.07949162&position=114&kwtype=filter&now_time=1571039275
湖景山海观  一湖一景一辈子 醇熟墅宅,3室2厅,124m²,中层(共33层),2018年建造,12903元/m²,160万,新房房源环境优美安全性高,山海观  黄陂-盘龙城-机场高速,https://wuhan.anjuke.com/prop/view/A1827251319?from=filter&spread=commsearch_p&uniqid=pc5da4282b326632.68597396&position=115&kwtype=filter&now_time=1571039275
海林广场 精装大三房 中心地段 南北通透户型 拎包入住,3室2厅,95m²,中层(共31层),2015年建造,15263元/m²,145万,近地铁繁华地段品质小区,海林广场  东西湖-吴家山-东吴大道,https://wuhan.anjuke.com/prop/view/A1848954513?from=filter&spread=commsearch_p&uniqid=pc5da4282b3266b5.36779392&position=116&kwtype=filter&now_time=1571039275
卧龙墨水湖边 一线瞰湖 毛坯三房一梯一户 湖景超好,3室2厅,115m²,中层(共32层),2018年建造,16174元/m²,186万,近地铁配套成熟环境优美,卧龙墨水湖边(三四期)  汉阳-建港-江城大道,https://wuhan.anjuke.com/prop/view/A1853109723?from=filter&spread=commsearch_p&uniqid=pc5da4282b326735.36405855&position=117&kwtype=filter&now_time=1571039275
